#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2020,1,2,5,0,290 1,0.1 1,2.7,99,99,99,999,1012.3,16.7,15.2,13.7,99,99
2020,1,2,5,10,290 1,0.0 1,2.7,99,99,99,999,1011.9,16.5,15.2,13.8,99,99
2020,1,2,5,20,288 1,0.9 1,3.1,99,99,99,999,1011.8,16.3,15.1,13.7,99,99
2020,1,2,5,30,285 1,1.5 1,4.1,99,99,99,999,1011.8,16.4,15.1,13.5,99,99
2020,1,2,5,40,285 1,2.2 1,4.8,2.77,19.05,6.83,30,1012.1,16.2,15.1,13.4,99,99
2020,1,2,5,50,284 1,2.0 1,5.1,99,99,99,999,1012.1,16.3,15.1,13.2,99,99
2020,1,2,6,0,285 1,2.1 1,5.6,99,99,99,999,1012.2,16.2,15,13.2,99,99
2020,1,2,6,10,281 1,1.5 1,5.7,99,99,99,999,1012,16.2,15,13.2,99,99
2020,1,2,6,20,287 1,1.2 1,4.7,99,99,99,999,1012.2,16.4,15,13.2,99,99
2020,1,2,6,30,288 1,1.9 1,5.2,99,99,99,999,1012.2,16.7,15,13,99,99
2020,1,2,6,40,289 1,2.0 1,6.8,2.82,19.05,6.69,263,1012.3,16.3,15,13,99,99
2020,1,2,6,50,287 1,1.7 1,4.9,99,99,99,999,1012.6,16.4,15,13,99,99
2020,1,2,7,0,285 1,1.0 1,5.5,99,99,99,999,1012.7,16.5,15,13.1,99,99
2020,1,2,7,10,285 1,0.6 1,3.7,99,99,99,999,1013,16.5,15,13,99,99
2020,1,2,7,20,283 1,0.5 1,3.7,99,99,99,999,1013.1,16.5,15,13.2,99,99
2020,1,2,7,30,283,9.6 1,2.8,99,99,99,999,1012.8,16.2,15,13.3,99,99
2020,1,2,7,40,277,7.9 1,0.3,2.63,19.05,6.63,143,1012.8,16.6,15,13.1,99,99
2020,1,2,7,50,260,8.1 1,1.3,99,99,99,999,1013.1,16.4,14.9,13.2,99,99
2020,1,2,8,0,277,9.8 1,2.7,99,99,99,999,1013.1,16.3,14.9,13.3,99,99
2020,1,2,8,10,294,9.0 1,1.6,99,99,99,999,1013,16.1,14.9,13.4,99,99
2020,1,2,8,20,307,8.3 1,0.9,99,99,99,999,1012.9,16.4,14.9,13.3,99,99
2020,1,2,8,30,308,7.4 1,0.2,99,99,99,999,1013.1,16.6,15,13.2,99,99
2020,1,2,8,40,313,7.1 1,0.3,2.58,19.05,6.81,263,1013.2,17.1,15.1,12.5,99,99
2020,1,2,8,50,318,6.3,9.7,99,99,99,999,1013.2,17,15.1,12.7,99,99
2020,1,2,9,0,302,6.6,9.5,99,99,99,999,1013.1,16.4,15.2,13.2,99,99
2020,1,2,9,10,297,7.2,9.2,99,99,99,999,1013.2,16.6,15.2,13,99,99
2020,1,2,9,20,291,6.9,9.3,99,99,99,999,1013.2,16.5,15.2,12.9,99,99
2020,1,2,9,30,296,7.1,9.1,99,99,99,999,1013.1,16.5,15.2,13,99,99
2020,1,2,9,40,300,6.8,8.7,2.51,19.05,6.97,259,1013.1,16.2,15.2,13.1,99,99
2020,1,2,9,50,297,6,7.9,99,99,99,999,1013.2,16.3,15.2,13.3,99,99
2020,1,2,10,0,314,3.6,5.9,99,99,99,999,1013.2,16.4,15.2,13.4,99,99
2020,1,2,10,10,320,4,5.5,99,99,99,999,1013,16.9,15.3,13,99,99
2020,1,2,10,20,321,5,6.3,99,99,99,999,1012.8,16.8,15.3,12.9,99,99
2020,1,2,10,30,303,3.5,5.5,99,99,99,999,1013.1,16.7,15.4,13.2,99,99
2020,1,2,10,40,297,2.7,4.5,2.32,19.05,6.94,291,1013,17,15.4,12.6,99,99
2020,1,2,10,50,317,2.7,4.8,99,99,99,999,1013,17.6,15.4,11.6,99,99
2020,1,2,11,0,274,2.7,6.3,99,99,99,999,1013,17.8,15.4,11.7,99,99
2020,1,2,11,10,240,3.7,6.7,99,99,99,999,1012.8,16.8,15.4,13,99,99
2020,1,2,11,20,290,0.9,2.8,99,99,99,999,1012.9,16.8,15.4,12.9,99,99
2020,1,2,11,30,195,2.1,4.8,99,99,99,999,1013,16.7,15.4,13,99,99
2020,1,2,11,40,256,1.4,4.5,2.27,19.05,7.12,250,1013,17.2,15.4,12,99,99
2020,1,2,11,50,238,1.3,6,99,99,99,999,1013.1,17.3,15.4,12,99,99
2020,1,2,12,0,252,4.7,7.4,99,99,99,999,1013,16.6,15.4,12.9,99,99
2020,1,2,12,10,248,5.7,9.4,99,99,99,999,1012.8,16.6,15.4,12.8,99,99
2020,1,2,12,20,262,5.6,7.9,99,99,99,999,1013,16.7,15.4,12.1,99,99
2020,1,2,12,30,272,4.4,6.9,99,99,99,999,1013.1,17.4,15.4,11.4,99,99
2020,1,2,12,40,273,4.8,6.8,2.17,19.05,7.35,280,1013.4,17.2,15.4,12,99,99
2020,1,2,12,50,255,5.2,7.2,99,99,99,999,1013.5,16.5,15.4,12.8,99,99
2020,1,2,13,0,261,5.6,7.8,99,99,99,999,1013.7,16.6,15.4,12.5,99,99
2020,1,2,13,10,271,4.6,7.1,99,99,99,999,1013.7,17,15.4,11.8,99,99
2020,1,2,13,20,270,3.5,5.3,99,99,99,999,1013.8,17.1,15.4,12.1,99,99
2020,1,2,13,30,261,3.8,5.1,99,99,99,999,1013.9,16.8,15.4,12.7,99,99
2020,1,2,13,40,266,3.6,5.3,2.17,19.05,7.74,261,1013.8,16.7,15.4,12.3,99,99
2020,1,2,13,50,269,2.8,4.5,99,99,99,999,1013.8,16.9,15.4,12.3,99,99
2020,1,2,14,0,270,1.9,3.3,99,99,99,999,1013.6,17.1,15.5,12.1,99,99
2020,1,2,14,10,268,2.6,3.8,99,99,99,999,1013.6,17,15.5,12.3,99,99
2020,1,2,14,20,281,1.8,3.6,99,99,99,999,1013.9,16.9,15.5,12.5,99,99
2020,1,2,14,30,277,2.2,3.5,99,99,99,999,1013.9,16.8,15.5,13,99,99
2020,1,2,14,40,268,2.4,3.5,2.11,19.05,7.39,265,1014,16.6,15.5,13.1,99,99
2020,1,2,14,50,278,2.5,3.9,99,99,99,999,1013.9,16.5,15.5,12.7,99,99
2020,1,2,15,0,262,2.8,4.4,99,99,99,999,1014.1,16.6,15.5,13,99,99
2020,1,2,15,10,263,3.1,4.4,99,99,99,999,1014.2,16.6,15.4,13.3,99,99
2020,1,2,15,20,276,2.9,4.5,99,99,99,999,1014.3,16.5,15.4,13,99,99
2020,1,2,15,30,272,3.4,5.3,99,99,99,999,1014.5,16.8,15.4,12.5,99,99
2020,1,2,15,40,276,2.6,4.4,2.11,19.05,7.28,252,1014.5,16.9,15.4,12.7,99,99
2020,1,2,15,50,273,5.4,7.7,99,99,99,999,1014.5,16.7,15.3,12.6,99,99
2020,1,2,16,0,289,6.6,8.6,99,99,99,999,1014.8,16.5,15.3,12,99,99
2020,1,2,16,10,290,4.9,7.5,99,99,99,999,1014.8,16.4,15.3,12.2,99,99
2020,1,2,16,20,285,5,7.1,99,99,99,999,1015,16.4,15.2,12.1,99,99
2020,1,2,16,30,287,6.6,8.4,99,99,99,999,1015.3,16,15.1,12.4,99,99
2020,1,2,16,40,289,6.6,8.4,2.24,19.05,7.34,256,1015.4,15.9,15.1,12.4,99,99
2020,1,2,16,50,288,7,8.6,99,99,99,999,1015.3,15.8,15.1,12.4,99,99
2020,1,2,17,0,288,6.2,8.2,99,99,99,999,1015.3,15.7,15.2,12.5,99,99
2020,1,2,17,10,287,5.8,7,99,99,99,999,1015.4,15.9,15.2,12.4,99,99
2020,1,2,17,20,277,5.3,6.6,99,99,99,999,1015.4,16,15.2,12.6,99,99
